success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
,,,,,image-keyboard-response,171,606237,0.0-7.0-4.0-0.21,1,,3461,img/testing_events/Ca/Test_Ca_Event_13.jpg,e,response,Ca,e,TRUE
,,,,,image-keyboard-response,172,607679,0.0-7.0-4.0-0.22,1,,1438,img/testing_events/Ca/Test_Ca_Event_15.jpg,c,response,Ca,c,TRUE
,,,,,image-keyboard-response,173,608956,0.0-7.0-4.0-0.23,1,,1270,img/testing_events/Ca/Test_Ca_Event_17.jpg,e,response,Ca,e,TRUE
,,,,,image-keyboard-response,174,612477,0.0-7.0-5.0-0.0,1,,3506,img/testing_events/Ac/Test_Ac_Event_14.jpg,c,response,Ac,c,TRUE
,,,,,image-keyboard-response,175,615119,0.0-7.0-5.0-0.1,1,,2632,img/testing_events/Ac/Test_Ac_Event_3.jpg,n,response,Ac,n,TRUE
,,,,,image-keyboard-response,176,618209,0.0-7.0-5.0-0.2,1,,3082,img/testing_events/Ac/Test_Ac_Event_19.jpg,n,response,Ac,n,TRUE
,,,,,image-keyboard-response,177,619754,0.0-7.0-5.0-0.3,1,,1539,img/testing_events/Ac/Test_Ac_Event_15.jpg,n,response,Ac,n,TRUE
,,,,,image-keyboard-response,178,621779,0.0-7.0-5.0-0.4,1,,2019,img/testing_events/Ac/Test_Ac_Event_8.jpg,e,response,Ac,e,TRUE
,,,,,image-keyboard-response,179,622752,0.0-7.0-5.0-0.5,1,,967,img/testing_events/Ac/Test_Ac_Event_4.jpg,e,response,Ac,e,TRUE
,,,,,image-keyboard-response,180,626930,0.0-7.0-5.0-0.6,1,,4154,img/testing_events/Ac/Test_Ac_Event_6.jpg,c,response,Ac,c,TRUE
,,,,,image-keyboard-response,181,627986,0.0-7.0-5.0-0.7,1,,1052,img/testing_events/Ac/Test_Ac_Event_17.jpg,u,response,Ac,u,TRUE
,,,,,image-keyboard-response,182,630197,0.0-7.0-5.0-0.8,1,,2203,img/testing_events/Ac/Test_Ac_Event_13.jpg,u,response,Ac,u,TRUE
,,,,,image-keyboard-response,183,633089,0.0-7.0-5.0-0.9,1,,2886,img/testing_events/Ac/Test_Ac_Event_1.jpg,u,response,Ac,u,TRUE
,,,,,image-keyboard-response,184,635410,0.0-7.0-5.0-0.10,1,,2311,img/testing_events/Ac/Test_Ac_Event_21.jpg,c,response,Ac,u,FALSE
,,,,,image-keyboard-response,185,636439,0.0-7.0-5.0-0.11,1,,1021,img/testing_events/Ac/Test_Ac_Event_16.jpg,e,response,Ac,e,TRUE
,,,,,image-keyboard-response,186,639357,0.0-7.0-5.0-0.12,1,,2905,img/testing_events/Ac/Test_Ac_Event_7.jpg,e,response,Ac,n,FALSE
,,,,,image-keyboard-response,187,642494,0.0-7.0-5.0-0.13,1,,3120,img/testing_events/Ac/Test_Ac_Event_23.jpg,n,response,Ac,n,TRUE
,,,,,image-keyboard-response,188,644367,0.0-7.0-5.0-0.14,1,,1867,img/testing_events/Ac/Test_Ac_Event_20.jpg,u,response,Ac,e,FALSE
,,,,,image-keyboard-response,189,649069,0.0-7.0-5.0-0.15,1,,4697,img/testing_events/Ac/Test_Ac_Event_9.jpg,u,response,Ac,u,TRUE
,,,,,image-keyboard-response,190,649921,0.0-7.0-5.0-0.16,1,,845,img/testing_events/Ac/Test_Ac_Event_5.jpg,u,response,Ac,u,TRUE
,,,,,image-keyboard-response,191,651731,0.0-7.0-5.0-0.17,1,,1799,img/testing_events/Ac/Test_Ac_Event_10.jpg,n,response,Ac,c,FALSE
,,,,,image-keyboard-response,192,654297,0.0-7.0-5.0-0.18,1,,2560,img/testing_events/Ac/Test_Ac_Event_24.jpg,e,response,Ac,e,TRUE
,,,,,image-keyboard-response,193,655794,0.0-7.0-5.0-0.19,1,,1482,img/testing_events/Ac/Test_Ac_Event_2.jpg,c,response,Ac,c,TRUE
,,,,,image-keyboard-response,194,658869,0.0-7.0-5.0-0.20,1,,3070,img/testing_events/Ac/Test_Ac_Event_22.jpg,c,response,Ac,c,TRUE
,,,,,image-keyboard-response,195,660956,0.0-7.0-5.0-0.21,1,,2079,img/testing_events/Ac/Test_Ac_Event_11.jpg,u,response,Ac,n,FALSE
,,,,,image-keyboard-response,196,662541,0.0-7.0-5.0-0.22,1,,1580,img/testing_events/Ac/Test_Ac_Event_12.jpg,e,response,Ac,e,TRUE
,,,,,image-keyboard-response,197,664054,0.0-7.0-5.0-0.23,1,,1505,img/testing_events/Ac/Test_Ac_Event_18.jpg,c,response,Ac,c,TRUE
TRUE,,,,,fullscreen,200,709040,0.0-10.0,1,,,,,,,,
